function	width	version	nanos	min	max
cos	153	decimal-scaled@0.5.0	5438	1422	4016798
cos	18	decimal-scaled	2044	720	10524
cos	18	decimal-scaled@0.4.4	3419	2001	9945
cos	18	decimal-scaled@0.5.0	3343	2069	5171
cos	230	decimal-scaled	7732	2173	1510231
cos	230	decimal-scaled@0.3.3	65848	20891	9090041
cos	230	decimal-scaled@0.4.4	44371	8453	9061320
cos	230	decimal-scaled@0.5.0	7341	2073	6022117
cos	307	decimal-scaled	10540	3427	6039174
cos	307	decimal-scaled@0.3.3	103914	30978	11184483
cos	307	decimal-scaled@0.4.4	70907	13625	11098953
cos	307	decimal-scaled@0.5.0	9518	2875	5793136
cos	38	decimal-scaled	2900	614	24177
cos	38	decimal-scaled@0.3.3	59654	6950	80001
cos	38	decimal-scaled@0.4.4	4850	2293	10955
cos	38	decimal-scaled@0.5.0	4633	2216	25115
cos	462	decimal-scaled	7654	2495	6027638
cos	462	decimal-scaled@0.4.4	66399	11992	9102380
cos	462	decimal-scaled@0.5.0	7053	2455	9029486
cos	57	decimal-scaled	5921	1673	42670
cos	57	decimal-scaled@0.4.4	21210	3607	50154
cos	57	decimal-scaled@0.5.0	5586	1593	28663
cos	616	decimal-scaled	7794	2304	100251
cos	616	decimal-scaled@0.4.4	59983	13161	6092131
cos	616	decimal-scaled@0.5.0	7495	2021	7017236
cos	76	decimal-scaled	5478	1473	74282
cos	76	decimal-scaled@0.3.3	21603	5498	33190
cos	76	decimal-scaled@0.4.4	15058	2344	51928
cos	76	decimal-scaled@0.5.0	5107	1262	19289
cos	924	decimal-scaled	8669	1932	9017677
cos	924	decimal-scaled@0.4.4	102100	21676	12114656
cos	924	decimal-scaled@0.5.0	8671	2280	8988523
cosh	115	decimal-scaled	28763	17055	6195593
cosh	115	decimal-scaled@0.4.4	815734	644160	15930811
cosh	115	decimal-scaled@0.5.0	27340	15984	9051167
cosh	1232	decimal-scaled	18680	12213	103655065
cosh	1232	decimal-scaled@0.4.4	5804702	1925407	838566705
cosh	1232	decimal-scaled@0.5.0	18649	10560	107269601
cosh	153	decimal-scaled	9735	5478	9033654
cosh	153	decimal-scaled@0.3.3	63936	36575	9077077
cosh	153	decimal-scaled@0.4.4	437790	335206	15612947
cosh	153	decimal-scaled@0.5.0	9484	5067	7039752
cosh	18	decimal-scaled	2571	1894	2975
cosh	18	decimal-scaled@0.4.4	5738	4867	13805
cosh	18	decimal-scaled@0.5.0	5295	4833	12479
cosh	230	decimal-scaled	12829	6800	6722986
cosh	230	decimal-scaled@0.3.3	135002	82985	9152465
cosh	230	decimal-scaled@0.4.4	1015502	640860	48689861
cosh	230	decimal-scaled@0.5.0	12378	8042	10722254
cosh	307	decimal-scaled	16711	10600	15085742
cosh	307	decimal-scaled@0.3.3	199932	118571	10206058
cosh	307	decimal-scaled@0.4.4	2459192	1207770	97645911
cosh	307	decimal-scaled@0.5.0	16631	9859	12216045
cosh	38	decimal-scaled	3298	2181	30309
cosh	38	decimal-scaled@0.3.3	157193	15601	307013
cosh	38	decimal-scaled@0.4.4	7164	5688	23413
cosh	38	decimal-scaled@0.5.0	7052	6553	34069
cosh	462	decimal-scaled	16671	10730	11105787
cosh	462	decimal-scaled@0.4.4	2316542	1057673	91493366
cosh	462	decimal-scaled@0.5.0	16611	9839	9191598
cosh	57	decimal-scaled	8706	5470	42961
cosh	57	decimal-scaled@0.4.4	255529	209914	596178
cosh	57	decimal-scaled@0.5.0	8611	5300	31790
cosh	616	decimal-scaled	12900	8351	24766792
cosh	616	decimal-scaled@0.4.4	4670282	1448408	346027006
cosh	616	decimal-scaled@0.5.0	12734	8195	30534742
cosh	76	decimal-scaled	8338	4497	26841
cosh	76	decimal-scaled@0.3.3	42404	24377	52429
cosh	76	decimal-scaled@0.4.4	255060	208354	573334
cosh	76	decimal-scaled@0.5.0	8162	4227	26520
cosh	924	decimal-scaled	15272	9598	31364869
cosh	924	decimal-scaled@0.4.4	5031300	1485053	556668512
cosh	924	decimal-scaled@0.5.0	15090	9109	35285931
div	115	decimal-scaled	240	191	401
div	115	decimal-scaled@0.4.4	691	541	1292
div	115	decimal-scaled@0.5.0	221	180	400
div	1232	decimal-scaled	1512	882	6161
div	1232	decimal-scaled@0.4.4	5250	3287	8637
div	1232	decimal-scaled@0.5.0	1463	1002	6091
div	153	decimal-scaled	160	140	250
div	153	decimal-scaled@0.4.4	561	431	2153
div	153	decimal-scaled@0.5.0	160	110	260
div	18	decimal-scaled	65	43	80
div	18	decimal-scaled@0.3.3	39	36	89
div	18	decimal-scaled@0.4.4	44	35	73
div	18	decimal-scaled@0.5.0	69	39	90
div	230	decimal-scaled	280	191	490
div	230	decimal-scaled@0.3.3	971	721	1542
div	230	decimal-scaled@0.4.4	992	791	1593
div	230	decimal-scaled@0.5.0	270	190	451
div	307	decimal-scaled	541	381	1072
div	307	decimal-scaled@0.3.3	1984	1392	2735
div	307	decimal-scaled@0.4.4	1733	1202	2384
div	307	decimal-scaled@0.5.0	461	361	1091
div	38	decimal-scaled	99	85	179
div	38	decimal-scaled@0.3.3	470	441	517
div	38	decimal-scaled@0.4.4	467	438	514
div	38	decimal-scaled@0.5.0	472	451	530
div	462	decimal-scaled	661	481	53780
div	462	decimal-scaled@0.4.4	2224	1593	3086
div	462	decimal-scaled@0.5.0	611	461	1313
div	57	decimal-scaled	140	120	221
div	57	decimal-scaled@0.4.4	636	531	711
div	57	decimal-scaled@0.5.0	145	110	190
div	616	decimal-scaled	650	450	1413
div	616	decimal-scaled@0.4.4	1812	1236	3194
div	616	decimal-scaled@0.5.0	619	429	1602
div	76	decimal-scaled	130	100	161
div	76	decimal-scaled@0.4.4	570	411	701
div	76	decimal-scaled@0.5.0	130	110	160
div	924	decimal-scaled	981	541	2809
div	924	decimal-scaled@0.4.4	3388	2337	6007
div	924	decimal-scaled@0.5.0	878	469	2696
exp	115	decimal-scaled	15403	341	6064900
exp	115	decimal-scaled@0.4.4	51106	25187	9066961
exp	115	decimal-scaled@0.5.0	14712	300	6066473
exp	1232	decimal-scaled	16290	7353	11302988
exp	1232	decimal-scaled@0.4.4	221463	107771	15875951
exp	1232	decimal-scaled@0.5.0	15969	9668	6629431
exp	153	decimal-scaled	9575	340	3025924
exp	153	decimal-scaled@0.3.3	32970	18999	9047655
exp	153	decimal-scaled@0.4.4	28873	12649	9039754
exp	153	decimal-scaled@0.5.0	9254	311	11020691
exp	18	decimal-scaled	2381	87	2710
exp	18	decimal-scaled@0.4.4	4143	3301	11403
exp	18	decimal-scaled@0.5.0	4039	90	14865
exp	230	decimal-scaled	12168	1302	9087947
exp	230	decimal-scaled@0.3.3	70235	44897	9086404
exp	230	decimal-scaled@0.4.4	56695	27651	9072914
exp	230	decimal-scaled@0.5.0	11607	661	10025721
exp	307	decimal-scaled	15819	1142	14048019
exp	307	decimal-scaled@0.3.3	104675	66284	6128841
exp	307	decimal-scaled@0.4.4	91621	44493	9091472
exp	307	decimal-scaled@0.5.0	15028	1252	9112010
exp	38	decimal-scaled	3150	92	30125
exp	38	decimal-scaled@0.3.3	81158	9342	117473
exp	38	decimal-scaled@0.4.4	5135	3897	11465
exp	38	decimal-scaled@0.5.0	4989	92	31074
exp	462	decimal-scaled	15620	2495	9136595
exp	462	decimal-scaled@0.4.4	92543	38552	11116153
exp	462	decimal-scaled@0.5.0	15118	2605	10043847
exp	57	decimal-scaled	4949	901	30758
